"Code","Name","Alternative code","Formulation","Alternative name","Alternative formulation","Really equivalent?"
0101010F0AAAUAU,Magnesium carbonate heavy 500mg capsules,0101010F0BCAAAU,,Magnesite 500mg capsules,,Y
0101010F0AAAUAU,Magnesium carbonate heavy 500mg capsules,0101010F0BEAAAU,,AdMag heavy 500mg capsules,,Y
0101010F0AAAUAU,Magnesium carbonate heavy 500mg capsules,0101010F0BFAAAU,,AactiMag heavy 500mg capsules,,Y
0101010F0AABEBE,Magnesium carbonate 500mg capsules,0101010F0BDABBE,,MagnaCarb 500mg capsules,,Y
0101010F0BCAAAU,Magnesite 500mg capsules,0101010F0AAAUAU,,Magnesium carbonate heavy 500mg capsules,,Y
0101010F0BCAAAU,Magnesite 500mg capsules,0101010F0BEAAAU,,AdMag heavy 500mg capsules,,Y
0101010F0BCAAAU,Magnesite 500mg capsules,0101010F0BFAAAU,,AactiMag heavy 500mg capsules,,Y
0101010F0BDABBE,MagnaCarb 500mg capsules,0101010F0AABEBE,,Magnesium carbonate 500mg capsules,,Y
0101010F0BEAAAU,AdMag heavy 500mg capsules,0101010F0AAAUAU,,Magnesium carbonate heavy 500mg capsules,,Y
0101010F0BEAAAU,AdMag heavy 500mg capsules,0101010F0BCAAAU,,Magnesite 500mg capsules,,Y
0101010F0BEAAAU,AdMag heavy 500mg capsules,0101010F0BFAAAU,,AactiMag heavy 500mg capsules,,Y
0101010F0BFAAAU,AactiMag heavy 500mg capsules,0101010F0AAAUAU,,Magnesium carbonate heavy 500mg capsules,,Y
0101010F0BFAAAU,AactiMag heavy 500mg capsules,0101010F0BCAAAU,,Magnesite 500mg capsules,,Y
0101010F0BFAAAU,AactiMag heavy 500mg capsules,0101010F0BEAAAU,,AdMag heavy 500mg capsules,,Y
0101010G0AAABAB,Co-magaldrox 195mg/220mg/5ml oral suspension sugar free,0101010G0BCABAB,,Mucogel oral suspension,,Y
0101010G0BCABAB,Mucogel oral suspension,0101010G0AAABAB,,Co-magaldrox 195mg/220mg/5ml oral suspension sugar free,,Y
0101010I0AAABAB,Magnesium oxide 100mg capsules,0101010I0AAAEAE,Oral capsule,Magnesium oxide 100mg tablets,Oral tablet,Y
0101010I0AAABAB,Magnesium oxide 100mg capsules,0101010I0BDABAB,,Magstar 100mg capsules,,Y
0101010I0AAABAB,Magnesium oxide 100mg capsules,0101010I0BFABAB,,Magdose 100mg capsules,,Y
0101010I0AAABAB,Magnesium oxide 100mg capsules,0101010I0BHAAAB,,MagnEss 100mg capsules,,Y
0101010I0AAACAC,Magnesium oxide 160mg capsules,0101010I0AAALAL,Oral capsule,Magnesium oxide 160mg tablets,Oral tablet,Y
0101010I0AAACAC,Magnesium oxide 160mg capsules,0101010I0BDAAAC,,Magstar 160mg capsules,,Y
0101010I0AAACAC,Magnesium oxide 160mg capsules,0101010I0BEAAAC,,Oromag 160 capsules,,Y
0101010I0AAACAC,Magnesium oxide 160mg capsules,0101010I0BFADAC,,Magdose 160mg capsules,,Y
0101010I0AAACAC,Magnesium oxide 160mg capsules,0101010I0BHABAC,,MagnEss 160mg capsules,,Y
0101010I0AAAEAE,Magnesium oxide 100mg tablets,0101010I0AAABAB,Oral tablet,Magnesium oxide 100mg capsules,Oral capsule,Y
0101010I0AAAEAE,Magnesium oxide 100mg tablets,0101010I0BFAAAE,,Magdose 100mg tablets,,Y
0101010I0AAAEAE,Magnesium oxide 100mg tablets,0101010I0BMACAE,,AdMag 100mg tablets,,Y
0101010I0AAAHAH,Magnesium oxide 400mg capsules,0101010I0AABIBI,Oral capsule,Magnesium oxide 400mg tablets,Oral tablet,Y
0101010I0AAALAL,Magnesium oxide 160mg tablets,0101010I0AAACAC,Oral tablet,Magnesium oxide 160mg capsules,Oral capsule,Y
0101010I0AAALAL,Magnesium oxide 160mg tablets,0101010I0BFACAL,,Magdose 160mg tablets,,Y
0101010I0AAALAL,Magnesium oxide 160mg tablets,0101010I0BMABAL,,AdMag 160mg tablets,,Y
0101010I0AAAMAM,Magnesium oxide 250mg capsules,0101010I0AABSBS,Oral capsule,Magnesium oxide 250mg tablets,Oral tablet,Y
0101010I0AAAXAX,Magnesium oxide 500mg tablets,0101010I0AAAYAY,Oral tablet,Magnesium oxide 500mg capsules,Oral capsule,Y
0101010I0AAAYAY,Magnesium oxide 500mg capsules,0101010I0AAAXAX,Oral capsule,Magnesium oxide 500mg tablets,Oral tablet,Y
0101010I0AAAYAY,Magnesium oxide 500mg capsules,0101010I0BFAEAY,,Magdose 500mg capsules,,Y
0101010I0AAAYAY,Magnesium oxide 500mg capsules,0101010I0BHACAY,,MagnEss 500mg capsules,,Y
0101010I0AABIBI,Magnesium oxide 400mg tablets,0101010I0AAAHAH,Oral tablet,Magnesium oxide 400mg capsules,Oral capsule,Y
0101010I0AABIBI,Magnesium oxide 400mg tablets,0101010I0BFAFBI,,Magdose 400mg tablets,,Y
0101010I0AABIBI,Magnesium oxide 400mg tablets,0101010I0BMAABI,,AdMag 400mg tablets,,Y
0101010I0AABQBQ,Magnesium oxide 375mg capsules,0101010I0AABRBR,Oral capsule,Magnesium oxide 375mg tablets,Oral tablet,Y
0101010I0AABRBR,Magnesium oxide 375mg tablets,0101010I0AABQBQ,Oral tablet,Magnesium oxide 375mg capsules,Oral capsule,Y
0101010I0AABSBS,Magnesium oxide 250mg tablets,0101010I0AAAMAM,Oral tablet,Magnesium oxide 250mg capsules,Oral capsule,Y
0101010I0BDAAAC,Magstar 160mg capsules,0101010I0AAACAC,,Magnesium oxide 160mg capsules,,Y
0101010I0BDAAAC,Magstar 160mg capsules,0101010I0BEAAAC,,Oromag 160 capsules,,Y
0101010I0BDAAAC,Magstar 160mg capsules,0101010I0BFADAC,,Magdose 160mg capsules,,Y
0101010I0BDAAAC,Magstar 160mg capsules,0101010I0BHABAC,,MagnEss 160mg capsules,,Y
0101010I0BDABAB,Magstar 100mg capsules,0101010I0AAABAB,,Magnesium oxide 100mg capsules,,Y
0101010I0BDABAB,Magstar 100mg capsules,0101010I0BFABAB,,Magdose 100mg capsules,,Y
0101010I0BDABAB,Magstar 100mg capsules,0101010I0BHAAAB,,MagnEss 100mg capsules,,Y
0101010I0BEAAAC,Oromag 160 capsules,0101010I0AAACAC,,Magnesium oxide 160mg capsules,,Y
0101010I0BEAAAC,Oromag 160 capsules,0101010I0BDAAAC,,Magstar 160mg capsules,,Y
0101010I0BEAAAC,Oromag 160 capsules,0101010I0BFADAC,,Magdose 160mg capsules,,Y
0101010I0BEAAAC,Oromag 160 capsules,0101010I0BHABAC,,MagnEss 160mg capsules,,Y
0101010I0BFAAAE,Magdose 100mg tablets,0101010I0AAAEAE,,Magnesium oxide 100mg tablets,,Y
0101010I0BFAAAE,Magdose 100mg tablets,0101010I0BMACAE,,AdMag 100mg tablets,,Y
0101010I0BFABAB,Magdose 100mg capsules,0101010I0AAABAB,,Magnesium oxide 100mg capsules,,Y
0101010I0BFABAB,Magdose 100mg capsules,0101010I0BDABAB,,Magstar 100mg capsules,,Y
0101010I0BFABAB,Magdose 100mg capsules,0101010I0BHAAAB,,MagnEss 100mg capsules,,Y
0101010I0BFACAL,Magdose 160mg tablets,0101010I0AAALAL,,Magnesium oxide 160mg tablets,,Y
0101010I0BFACAL,Magdose 160mg tablets,0101010I0BMABAL,,AdMag 160mg tablets,,Y
0101010I0BFADAC,Magdose 160mg capsules,0101010I0AAACAC,,Magnesium oxide 160mg capsules,,Y
0101010I0BFADAC,Magdose 160mg capsules,0101010I0BDAAAC,,Magstar 160mg capsules,,Y
0101010I0BFADAC,Magdose 160mg capsules,0101010I0BEAAAC,,Oromag 160 capsules,,Y
0101010I0BFADAC,Magdose 160mg capsules,0101010I0BHABAC,,MagnEss 160mg capsules,,Y
0101010I0BFAEAY,Magdose 500mg capsules,0101010I0AAAYAY,,Magnesium oxide 500mg capsules,,Y
0101010I0BFAEAY,Magdose 500mg capsules,0101010I0BHACAY,,MagnEss 500mg capsules,,Y
0101010I0BFAFBI,Magdose 400mg tablets,0101010I0AABIBI,,Magnesium oxide 400mg tablets,,Y
0101010I0BFAFBI,Magdose 400mg tablets,0101010I0BMAABI,,AdMag 400mg tablets,,Y
0101010I0BHAAAB,MagnEss 100mg capsules,0101010I0AAABAB,,Magnesium oxide 100mg capsules,,Y
0101010I0BHAAAB,MagnEss 100mg capsules,0101010I0BDABAB,,Magstar 100mg capsules,,Y
0101010I0BHAAAB,MagnEss 100mg capsules,0101010I0BFABAB,,Magdose 100mg capsules,,Y
0101010I0BHABAC,MagnEss 160mg capsules,0101010I0AAACAC,,Magnesium oxide 160mg capsules,,Y
0101010I0BHABAC,MagnEss 160mg capsules,0101010I0BDAAAC,,Magstar 160mg capsules,,Y
0101010I0BHABAC,MagnEss 160mg capsules,0101010I0BEAAAC,,Oromag 160 capsules,,Y
0101010I0BHABAC,MagnEss 160mg capsules,0101010I0BFADAC,,Magdose 160mg capsules,,Y
0101010I0BHACAY,MagnEss 500mg capsules,0101010I0AAAYAY,,Magnesium oxide 500mg capsules,,Y
0101010I0BHACAY,MagnEss 500mg capsules,0101010I0BFAEAY,,Magdose 500mg capsules,,Y
0101010I0BMAABI,AdMag 400mg tablets,0101010I0AABIBI,,Magnesium oxide 400mg tablets,,Y
0101010I0BMAABI,AdMag 400mg tablets,0101010I0BFAFBI,,Magdose 400mg tablets,,Y
0101010I0BMABAL,AdMag 160mg tablets,0101010I0AAALAL,,Magnesium oxide 160mg tablets,,Y
0101010I0BMABAL,AdMag 160mg tablets,0101010I0BFACAL,,Magdose 160mg tablets,,Y
0101010I0BMACAE,AdMag 100mg tablets,0101010I0AAAEAE,,Magnesium oxide 100mg tablets,,Y
0101010I0BMACAE,AdMag 100mg tablets,0101010I0BFAAAE,,Magdose 100mg tablets,,Y
0101010Q0AAAGAG,Magnesium hydroxide 7.45-8.35% oral suspension BP,0101010Q0BDACAG,,Phillips' Milk of Magnesia 415mg/5ml oral suspension,,Y
0101010Q0BDACAG,Phillips' Milk of Magnesia 415mg/5ml oral suspension,0101010Q0AAAGAG,,Magnesium hydroxide 7.45-8.35% oral suspension BP,,Y
